from_id,to_id,travel_time
88194ac003fffff,88194ac02bfffff,17.0
88194ac003fffff,88194ac145fffff,62.0
88194ac003fffff,88194ac151fffff,46.0
88194ac003fffff,88194ac211fffff,44.0
88194ac003fffff,88194ac219fffff,48.0
88194ac003fffff,88194ac22dfffff,39.0
88194ac003fffff,88194ac30dfffff,57.0
88194ac003fffff,88194ac313fffff,33.0
88194ac003fffff,88194ac361fffff,65.0
88194ac003fffff,88194aca47fffff,107.0
88194ac003fffff,88194ad05bfffff,101.0
88194ac003fffff,88194ad103fffff,102.0
88194ac003fffff,88194ad107fffff,100.0
88194ac003fffff,88194ad109fffff,106.0
88194ac003fffff,88194ad119fffff,95.0
88194ac003fffff,88194ad153fffff,100.0
88194ac003fffff,88194ad1b5fffff,62.0
88194ac003fffff,88194ad1b7fffff,54.0
88194ac003fffff,88194ad283fffff,111.0
88194ac003fffff,88194ad28dfffff,109.0
88194ac003fffff,88194ad2b7fffff,97.0
88194ac003fffff,88194ad307fffff,
88194ac003fffff,88194ad45dfffff,116.0
88194ac003fffff,88194ad523fffff,58.0
88194ac003fffff,88194ad62dfffff,
88194ac003fffff,88194ad729fffff,94.0
88194ac003fffff,88194ad737fffff,93.0
88194ac003fffff,88194ad749fffff,
88194ac003fffff,88194ad851fffff,104.0
88194ac003fffff,88194ad895fffff,72.0
88194ac003fffff,88194ad933fffff,
88194ac003fffff,88194ad94bfffff,
88194ac003fffff,88194ad96bfffff,
88194ac003fffff,88194ad985fffff,118.0
88194ac003fffff,88194ad9e7fffff,
88194ac003fffff,88194ada1dfffff,116.0
88194ac003fffff,88194ada4bfffff,
88194ac003fffff,88194ada9dfffff,79.0
88194ac003fffff,88194adaa9fffff,94.0
88194ac003fffff,88194adab9fffff,85.0
88194ac003fffff,88194adb3bfffff,
88194ac003fffff,88194adb3dfffff,
88194ac003fffff,88194adb4bfffff,
88194ac003fffff,88194e6011fffff,
88194ac003fffff,88194e6915fffff,
88194ac003fffff,88194e696bfffff,
88194ac003fffff,88194e69bdfffff,
88194ac003fffff,88194e6c23fffff,
88194ac003fffff,88194e6c33fffff,
88194ac003fffff,88194e6dcdfffff,
88194ac003fffff,88195d344dfffff,
88194ac003fffff,88195d36c3fffff,
88194ac003fffff,88195da581fffff,
88194ac003fffff,88195da59bfffff,
88194ac003fffff,88195da6dbfffff,
88194ac003fffff,88195dac85fffff,
88194ac003fffff,88195dac9bfffff,
88194ac003fffff,88195dac9dfffff,
88194ac003fffff,88195dad9dfffff,
88194ac005fffff,88194ac017fffff,28.0
88194ac005fffff,88194ac033fffff,29.0
88194ac005fffff,88194ac043fffff,23.0
88194ac005fffff,88194ac049fffff,28.0
88194ac005fffff,88194ac0e9fffff,31.0
88194ac005fffff,88194ac265fffff,50.0
88194ac005fffff,88194ac2e3fffff,46.0
88194ac005fffff,88194ac307fffff,43.0
88194ac005fffff,88194ac355fffff,46.0
88194ac005fffff,88194ac359fffff,49.0
88194ac005fffff,88194ac363fffff,51.0
88194ac005fffff,88194ad0e5fffff,83.0
88194ac005fffff,88194ad11dfffff,97.0
88194ac005fffff,88194ad1abfffff,67.0
88194ac005fffff,88194ad1c5fffff,84.0
88194ac005fffff,88194ad1ddfffff,79.0
88194ac005fffff,88194ad1e7fffff,74.0
